Algoritmo,Optimizador/estrategia,Tiempo  búsqueda  cuántica,Tiempo pythorch,coste total real,Evals. Circuito,Precisión surrogada,PRECISIÓN REAL,Gap de precisión,Nº Puertas CNOTs,Depth,Qbits,Pros,Contras,,,,,,
Randon Forest (clásico),Random Forest + Adam,,~13.5 h,~13.5 h,250 muestras (Inferencia de 32.768),81.73% (2 épocas),81.73% (2 épocas),0.0%,N/A (Hardware Clásico),N/A (Hardware Clásico),,"Establece el techo de precisión real (81,73%) que todos los algoritmos cuánticos intentan igualar con un coste computacional radicalmente inferior. Su entrenamiento clásico es completamente reproducible, determinista y libre de ruido cuántico, lo que lo convierte en el único baseline con gap surrogada/real de 0,00%.","Coste de entrenamiento extremo (~13,5 h) por explorar 32.768 combinaciones de hiperparámetros por fuerza bruta, frente a los segundos o minutos de los enfoques cuánticos. No aprovecha superposición ni entrelazamiento.",,ALGORITMOS VARIACIONALES (VQA),,,APRENDIZAJE CUÁNTICO (QML),
Optimización Bayesiana (clásica),Procesos Gaussianos (GP) + Expected Improvement.,36.08 s,199.29 s,235.37 s,250 muestras (Inferencia de 32.768),81.02% ± 0.13%,81.83% ± 0.44%,0.81%,N/A (Hardware Clásico),N/A (Hardware Clásico),,Extrema eficiencia de muestras (Sample Efficiency). Roza el óptimo global con muy pocas llamadas a la función objetivo.,Es un proceso puramente secuencial que escala de forma cúbica en tiempo computacional clásico frente a la cantidad de evaluaciones.,,,VQE Y VARIANTES,,,OPTIMIZACIÓN BAYESIANA CUÁNTICA
VQE ( Pauli Z ),COBYLA (Heurístico),18.14 s,161.55 s,179.69 s,"900,00",80.86% ± 0.25%,81.73% ± 0.38%,0.87%,"28,00",19.0 capas,15,Convergencia estable y fácil implementación en simuladores.,Muy sensible a barren plateaus y al ruido en hardware físico.,,,QAOA- BASE/REFERENCIA,,,KERNEL CUÁNTICO
QITE-VQE,COBYLA + Proyección QITE,8.26 s,284.08 s,292.34 s,"300,00",80.65% ± 0.18%,82.03% ± 0.27%,1.37%,"28,00",22.0 capas,15,Filtra errores naturalmente al evolucionar por tiempo imaginario.,Sobrecarga matemática en la proyección clásica-cuántica en cada paso.,,,QAOA- MIXER/OPERADOR,,,MODELOS GENERATIVOS CUÁNTICOS
ADAPT-VQE,Gradientes + SOAP,3.14 s,174.54 s,177.68 s,"678,00",80.84% ± 0.00%,81.69% ± 0.43%,0.85%,"0,00",1.0 capas,15,Arquitectura ultracompacta que añade solo las rotaciones necesarias.,Requiere un número masivo de iteraciones para construir el ansatz.,,,QAOA-INICIALIZACIÓN/WARM START,,,MULTI-FIDELITY/HÍBRIDO
CVaR-VQE,COBYLA + Filtro CVaR,2.16 s,104.98 s,107.14 s,"200,00",69.56% ± 13.46%,76.56% ± 6.29%,7.00%,"14,00",16.0 capas,15,"El circuito más compacto de toda la familia VQE (14 CNOTs, 16 capas), lo que lo convierte en el candidato más resistente al ruido físico entre los algoritmos VQE evaluados.","Precisión real de apenas 76,56% ± 6,29%, la más baja de la familia VQE y la segunda peor de toda la batería. El filtro CVaR descarta el 76% de las muestras, concentrando el aprendizaje en el cuartil superior y sacrificando la estabilidad de la convergencia.",,,QAOA-OPTIMIZADOR CLÁSICO GUIADO,,,APRENDIZAJE POR REFUERZO
VAns (Variable Ansatz),L-BFGS-B + Arquitectura Variable (QAS),159.85 s,332.25 s,492.10 s,"8.959,40",79.99% ± 0.29%,81.59% ± 0.63%,1.59%,"10,00",8.4 capas,15,"Construye circuitos extremadamente compactos (10 CX), ideales para evitar la decoherencia NISQ.","El crecimiento iterativo dispara drásticamente la carga clásica (8959,4 evaluaciones) frente a los ansatze estáticos.",,,QAOA-REDUCCIÓN/ESCALADO,,,META APRENDIZAJE CUÁNTICO
VQSD (Variational Quantum State Diagonalization),L-BFGS-B,8.89 s,735.87 s,744.76 s,"273,00",78.47% ± 1.88%,80.59% ± 1.58%,2.12%,"28,00",22.0 capas,15,"Algoritmo extremadamente versátil: al diagonalizar el estado cuántico, permite explorar la robustez del modelo frente a perturbaciones en el espacio de Hilbert sin necesidad de definir un hamiltoniano de coste explícito.","El algoritmo sufre de ""Barren Plateaus"" (mesetas de gradiente nulo) inducidos por el ruido y la profundidad de los circuitos a medida que se escala el número de qubits, dificultando enormemente su entrenamiento sin técnicas de inicialización avanzadas.",,,OPTIMIZADORES SIN GRADIENTES/FEEDBACK,,,
QAOA,COBYLA,0.56 s,1716.99 s,1717.54 s,"102,40",69.31% ± 7.69%,77.34% ± 4.06%,8.03%,"20.488,00",21200.0 capas,15,"Tiempo de búsqueda cuántica casi instantáneo (0,56 s) y mínimo número de evaluaciones (102), convirtiéndolo en el punto de partida de referencia para todas las variantes QAOA.","Precisión real del 77,34% ± 4,06% (gap de 8,03%), la segunda peor de la tabla. El tiempo de PyTorch (1.716,99 s) anula la ventaja cuántica, resultando en el segundo coste total más alto de toda la batería (1.717,54 s). Carece de la expresividad necesaria para capturar correlaciones de orden superior.",,,,,BÚSQUEDA CUÁNTICA,
GM-QAOA (Grover Mixers for QAOA),COBYLA + Shifting Complexity,0.16 s,139.92 s,140.08 s,"51,20",80.94% ± 0.00%,81.73% ± 0.33%,0.79%,"1.389,00",2222.0 capas,15,Alta precisión a p=1 desplazando la complejidad a la inicialización.,Dependencia de un pre-filtrado clásico para ser efectivo.,,BÚSQUEDA DE ARQUITECTURAS CUÁNTICAS (QAS),,,,BÚSQUEDA TIPO GROVER
CD-QAOA,COBYLA (Pauli Y CD),3.75 s,295.44 s,299.20 s,"200,00",80.34% ± 0.05%,81.54% ± 0.22%,1.19%,"40.976,00",42396.0 capas,15,La física contra-adiabática evita transiciones de estado erróneas.,"Duplica las CNOTs respecto al QAOA estándar, aumentando la tasa de error físico.",,,DIFERENCIABLE (SUPER-CIRCUITO),,,RECOCIDO CUÁNTICO
DC-QAOA,COBYLA,1.81 s,283.41 s,285.22 s,"80,00",80.35% ± 0.21%,81.71% ± 0.27%,1.36%,"38.460,00",2414.0 capas,15,Acelera la convergencia en circuitos de baja profundidad al canalizar la evolución hacia el estado fundamental mediante la introducción del término RY.,"Añade parámetros adicionales a la optimización clásica (alpha), lo que eleva significativamente el número de evaluaciones necesarias en la fase de entrenamiento.",,,EVOLUTIVA/ONE-SHOT,,,CAMINATAS CUÁNTICAS
MA-QAOA,SPSA (Multi-Angle),0.88 s,211.08 s,211.96 s,"200,00",80.92% ± 0.02%,81.43% ± 0.21%,0.51%,"0,00",2.0 capas,15,Precisión de élite sin necesidad de puertas físicas de entrelazamiento.,"El espacio de parámetros explota, obligando a usar optimizadores estocásticos.",,,,,,
LMA-QAOA,SPSA (Layerwise Multi-Angle),51.08 s,375.14 s,426.22 s,"320,00",81.00% ± 0.08%,81.75% ± 0.39%,0.75%,"0,00",4.0 capas,15,Estabiliza la alta dimensionalidad al entrenar y congelar capas secuencialmente.,El entrenamiento por fases dispara el tiempo de ejecución.,,METAHEURÍSTICAS POBLACIONALES CUÁNTICAS (QUANTUM-INSPIRED),,,,
WS-QAOA (WARM START),L-BFGS-B (Warm Start),0.32 s,234.92 s,235.24 s,"85,00",80.69% ± 0.00%,81.97% ± 0.21%,1.28%,"20.488,00",21200.0 capas,15,"El algoritmo QAOA más rápido de la batería (235,24 s totales): la inicialización clásica de alta calidad elimina las fases de exploración del optimizador, reduciendo las evaluaciones necesarias a solo 85.",Depende ciegamente de la calidad de la solución inicial clásica proporcionada.,,,INTELIGENCIA DE ENJAMBRE CUÁNTICA,,,
QAOA-TQA,COBYLA (TQA Init),5.83 s,202.99 s,208.82 s,"50,00",80.48% ± 0.00%,81.51% ± 0.30%,1.03%,"96.150,00",6025.0 capas,15,Inicialización heurística sólida basada en un recocido suave.,Genera un circuito extremadamente denso e inviable fuera de simuladores ideales.,,,ALGORITMOS EVOLUTIVOS CUÁNTICOS,,,
LINXFER-QAOA,L-BFGS-B + Restricción Lineal (4 Params),0.11 s,85.51 s,85.62 s,"5,00",79.71% ± 0.00%,81.22% ± 0.34%,1.51%,"90.792,00",120.0 capas,15,"Sortea por completo las llanuras estériles, convergiendo de forma casi instantánea.",La rigidez del schedule impide alcanzar el óptimo global (>81%); profundidad de hardware (p=4) inasumible con ruido real.,,,,,,
CVaR-QAOA,Grid-Search (10x10) + COBYLA + Filtro CVaR,0.72 s,146.97 s,147.69 s,"150,00",80.07% ± 0.00%,81.67% ± 0.31%,1.60%,"22.698,00",30.0 capas,15,Garantiza escapar de mínimos locales iniciales; estimación estable de subgradientes.,Mayor número de evaluaciones requeridas (150) frente al QAOA clásico para acomodar el escaneo previo de la cuadrícula.,,,,,,
QAOA-DARBO,Bayesiano (GP),6.04 s,180.20 s,186.24 s,"40,00",77.10% ± 8.30%,79.37% ± 4.15%, 2.27%,"20.488,00",21200.0 capas,15,La guía bayesiana encuentra un óptimo mucho mejor con apenas 40 pasos.,La comunicación entre el optimizador clásico y el QPU multiplica el tiempo por 8 frente al QAOA base.,,,,,,
MCTS-QAOA (monte carlo),MCTS + L-BFGS-B,2.10 s,52.18 s,54.27 s,"285,00",74.99% ± 0.00%,78.77% ± 0.23%,3.78%,"45.396,00",60.0 capas,15,Potencial para automatizar el Warm-Start explorando topologías complejas mediante procesos de decisión de Markov.,Altamente sensible a la definición del espacio de acciones; la profundidad p=2 (45.396 CX) dispara la dimensionalidad y dificulta el aprendizaje del agente.,,,,,,
CL-QAOA,Layerwise + Cyclic,97.67 s,365.48 s,463.15 s,"2.586,00",80.37% ± 0.00%,81.84% ± 0.16%,1.47%,"90.792,00",120.0 capas,15,Rigor teórico en la optimización de circuitos profundos para evitar barren plateaus.,Relación coste/beneficio muy pobre (más de 90.000 CNOTs para apenas un 0.25% de mejora).,,,,,,
QAMOO (Quantum Approximate Multi-Obj. Opt.),COBYLA con Maximización de Hipervolumen (HV) y Archivo de Pareto,1.13 s, 203.25 s,204.39 s,"34,00",72.52% ± 17.28%, 75.62% ± 11.49%,3.10%,"1.236,00",1260.0 capas,15,"Permite revelar el trade-off natural entre precisión del modelo y coste computacional (tiempo de inferencia, memoria), generando un frente de Pareto que ningún otro algoritmo de la batería puede proporcionar. Con solo 34 evaluaciones, obtiene múltiples soluciones Pareto-óptimas simultáneamente.","La función objetivo del Hipervolumen (HV) introduce ""mesetas"" adicionales de orden cero que los gradientes no pueden atravesar.",,,,,,
DQAOA,COBYLA,0.04 s,19.01 s,19.05 s,"150,00",49.63% ± 0.00%,67.00% ± 1.58%, 17.37%,"3.276,00",140.0 capas,15,"Permite ejecutar QAOA sobre problemas de gran escala con hardware cuántico limitado (pocos qubits) fragmentando el problema. El tiempo total es el más bajo de toda la batería (19,05 s).","Precisión real del 67,00% ± 1,58%, la más baja de toda la batería y 14,73 puntos por debajo del baseline clásico (81,73%). La fragmentación ignora correlaciones de alto orden entre sub-bloques, atrapando al algoritmo en óptimos locales si no se realizan suficientes pasadas de agregación.",,,,,,
RQAOA,COBYLA,27.12 s,234.29 s,261.42 s,"366,20",80.87% ± 0.20%,81.81% ± 0.32%,0.94%,"192.300,00",12050.0 capas,15,"La recursión reduce la dimensión del problema iterativamente, estabilizando el entrenamiento y garantizando la factibilidad de las soluciones.",Exige un coste físico inviable para la era NISQ (192.300 CNOTs y 12.050 capas) al tener que re-ejecutar circuitos densos continuamente.,,,,,,
TN-QAOA (tensor network),L-BFGS-B sobre un Simulador MPS (Matrix Product State),0.98 s,201.66 s,202.64 s,"125,00",80.35% ± 0.13%,81.72% ± 0.39%,1.36%,"38.460,00",2410.0 capas,15,"Permite simular y optimizar circuitos QAOA para un número masivo de qubits (>100) mediante la compresión MPS del estado cuántico, reduciendo la memoria necesaria de exponencial a polinomial respecto al número de qubits.",El rendimiento de la red tensorial está intrínsecamente limitado por la cantidad de entrelazamiento del circuito.,,,,,,
QAOA-QRAO,"No-Variacional (Grid-Search 20x20) + (3,1)-QRAC",0.60 s,186.92 s,187.52 s,"400,00",80.84% ± 0.00%,81.77% ± 0.37%,0.93%,"16,00",25.0 capas,15,"Compresión extrema 15-->5 mediante Pauli Correlation Encoding , evade llanuras estériles al no usar optimizador clásico.","La compresión 15→5 qubits mediante QRAC introduce errores de relajación que incrementan la varianza del resultado (±0,37%) y limitan la reproducibilidad en hardware ruidoso. La codificación Pauli Correlation Encoding requiere un diseño del oráculo ad hoc para cada instancia del problema.",,,,,,
FPC-QAOA,L-BFGS-B sobre Schedule Polinómico Continuo,17.63 s,314.55 s,332.17 s,"522,20",81.02% ± 0.57%,81.57% ± 0.31%,0.55%,"153.840,00",9640.0 capas,15,Permite escalar la profundidad del circuito cuántico para resolver problemas extremadamente complejos sin sufrir el desvanecimiento de gradientes (Barren Plateaus) clásico de los circuitos sobreparametrizados.,"La parametrización polinómica restringe el espacio de soluciones del circuito cuántico, impidiendo ajustes finos en paisajes de energía irregulares. Con 153.840 CNOTs y 9.640 capas, su coste de hardware es inviable en dispositivos NISQ reales sin mitigación de errores.",,,,,,
LR-QAOA,L-BFGS-B sobre Schedule Lineal Bidimensional,2.80 s,724.97 s, 727.76 s,"59,40",79.57% ± 1.66%,80.73% ± 2.03%, 1.16%,"192.301,00",12050.0 capas,15,Resuelve por completo el problema del entrenamiento en circuitos ultraprofundos.,"Al imponer una rampa estrictamente lineal, sacrifica la capacidad de ajustarse a paisajes de energía patológicos que requieren oscilaciones abruptas en capas intermedias. Con 192.301 CNOTs y 12.050 capas, comparte el coste de hardware más alto de la batería junto a RQAOA, siendo inviable en hardware NISQ sin corrección de errores.",,,,,,
QNSPSA,Quantum Natural SPSA (QNSPSA,24.73 s,129.34 s,154.07 s,"640,00",79.25% ± 1.42%,80.47% ± 1.72%,1.22%,"28,00",22.0 capas,15,"Mucho más eficiente que el gradiente estándar, adaptando el tamaño del paso a la curvatura cuántica del paisaje energético para evadir los Barren Plateaus mediante la estimación estocástica de la Quantum Fisher Information Matrix (QFIM).","La naturaleza estocástica de la estimación de la QFIM requiere un factor de remuestreo (resampling size) mayor que el SPSA clásico para garantizar la convergencia, lo que incrementa el número de evaluaciones totales (640) y el overhead clásico.",,,,,,
FALQON,Feedback (Lyapunov),0.48 s,143.25 s,143.72 s,"0,00",81.73% ± 0.00%,81.99% ± 0.15%,0.26%,"184.392,00",190800.0 capas,15,Alcanza la precisión de Grover de forma determinista sin optimizador clásico.,Es el algoritmo más pesado de los algoritmos variacionales computacionalmente en términos de profundidad de puertas.,,,,,,
ROTOSOLVE/ROTOSELECT,Rotosolve (Optimización Analítica Secuencial),28.63 s,351.62 s,380.25 s,"710,00",80.73% ± 0.25%,81.80% ± 0.60%,1.07%,"28,00", 22.0 capas,15,"Está completamente libre de hiperparámetros de entrenamiento (no requiere learning rate), lo que evita el proceso de calibrar el optimizador.",Es estrictamente secuencial; no se puede paralelizar la evaluación de todos los parámetros simultáneamente como ocurre en el cálculo de gradientes.,,,,,,
RotoGP,RotoGP (Line-Search Secuencial con Procesos Gaussianos),48.85 s,646.24 s,695.09 s,"900,00",70.95% ± 5.56%,68.42% ± 19.87%,-2.53%,"28,00",22.0 capas,15,"Combina la optimización analítica exacta de Rotosolve con un modelo probabilístico (Proceso Gaussiano) que permite cuantificar la incertidumbre en cada parámetro, siendo el único algoritmo de la batería con estimación bayesiana de la superficie de coste por parámetro.","Resultado más inestable de la familia Rotosolve: precisión real del 68,42% con una desviación de ±19,87%, la segunda más alta de toda la batería. El Proceso Gaussiano por parámetro requiere invertir una matriz de covarianza en cada actualización, generando el mayor overhead clásico de la subfamilia (695,09 s totales) sin mejora de precisión sobre Rotosolve base.",,,,,,
FRAXIS/FQS,Free-Axis Selection (Secuencial de Eje Libre),33.65 s,233.78 s,267.42 s,"1.052,80",80.55% ± 0.38%,81.80% ± 0.11%,1.25%,"28,00",16.0 capas,15,La flexibilidad de permitir cualquier rotación arbitraria SU(2) genera una altísima capacidad de representación (expresividad).,"Encontrar el cuaternión/eje óptimo exige muestrear la energía en más puntos de la topología local, lo que eleva el overhead clásico y el número de ejecuciones en el simulador.",,,,,,
Grover,Oráculo + Difusor,5500.76 s,127.05 s,5627.81 s,"1,00",81.73% ± 0.00%,81.99% ± 0.15%,0.26%,"2.388.800,00",4089301.0 capas,15,Búsqueda exhaustiva con aceleración cuadrática garantizada.,Tiempo y volumen de CNOTs totalmente inasumibles para hardware NISQ actual.,,,,,,
GAS (grover adaptative search),Búsqueda Adaptativa con Schedule de Dürr-Høyer,0.38 s,304.55 s,304.93 s,"57,80",80.92% ± 0.05%,81.41% ± 0.40%,0.49%,"1.446.725,00",2875689.2 capas,15,Ofrece una ventaja de aceleración cuadrática demostrable matemáticamente frente a la búsqueda clásica en fuerza bruta.,"Al requerir la evaluación de un oráculo denso en superposición, los requisitos de profundidad y el inmenso volumen de puertas CNOT (1.446.725) hacen inviable su ejecución en hardware NISQ actual. La ventaja cuadrática teórica queda eclipsada por la tasa de error acumulada en circuitos de esa profundidad.",,,,,,
QA (quantum annealing),evolución térmica hacia el estado fundamenta hibridado con SEMO (corrección de errores de espín mediante búsqueda clásica de vecindario local).,0.56 s,177.70 s,178.26 s,"32.801,00",81.63% ± 0.20%,81.91% ± 0.13%,0.28%,"0,00", 0.0 capas,15,Elimina por completo los cuellos de botella de los circuitos basados en puertas (sin CNOTs ni límite de profundidad) y escapa eficientemente de óptimos locales en el paisaje de energía.,"El mapeo estricto a QUBO limita el análisis a interacciones de pares (2 cuerpos), perdiendo correlaciones complejas de orden superior entre los hiperparámetros.",,,,,,
NV-QWOA (Non-Variational Quantum Walk Optimization Algorithm),Evolución No Variacional (Schedule de Trotter Fijo),0.09 s,7.63 s,7.72 s,"0,00",24.04% ± 0.00%,51.09% ± 2.75%,27.05%,"32.768,00",100.0 capas,15,"La difusión de la probabilidad sigue de forma natural la conectividad del grafo del problema (el hipercubo), lo que genera transferencias de amplitud mucho más estructuradas que los saltos heurísticos.","Para que la aproximación de Trotter sea fiel a la caminata continua real, requiere una profundidad de circuito (p) extremadamente alta, lo cual introduce un ruido masivo en la era NISQ actual. El algoritmo no sirve para esta tarea en sus condiciones actuales.",,,,,,
DQAS,L-BFGS-B,31.73 s,248.55 s,280.28 s,"2.492,60",77.32% ± 5.78%,80.59% ± 2.15%, 3.27%,"4,60",4.0 capas,15,Extremadamente eficiente en tiempo de búsqueda en comparación con los métodos de búsqueda arquitectónica discreta o evolutiva.,El rendimiento excelente del super-circuito continuo puede degradarse abruptamente al forzar el colapso (discretización) de las probabilidades hacia puertas deterministas concretas.,,,,,,
SA-DQAS,L-BFGS-B + Self-Attention,35.74 s,1198.23 s,1233.96 s,"3.073,40",75.53% ± 6.49%,69.63% ± 23.80%,-5.90%,"0,00",1.0 capas,15,"Automatiza totalmente la búsqueda del ansatz introduciendo un mecanismo de atención que pondera y elimina redundancias estructurales en el super-circuito, reduciendo el número de CNOTs resultante a 0 en la arquitectura final discretizada.","Resultado estadísticamente catastrófico: precisión real del 69,63% ± 23,80%, la desviación más alta de toda la batería y una degradación de 10,96 puntos respecto a DQAS base (80,59%). El gap negativo de −5,90% indica que el modelo surrogado sobreestima sistemáticamente la precisión real. La simulación del super-circuito con atención requiere el mayor tiempo de PyTorch de la tabla (1.198,23 s).",,,,,,
EQNAS,AQEA-QAS (Adaptive Quantum Evolutionary Algorithm) + Operador de Catástrofe + Caching.,3.06 s,203.72 s,206.78 s,"300,00",81.13% ± 0.33%,81.84% ± 0.37%,0.71%,"8,00",4.2 capas,15,Logra el óptimo global mediante catástrofes que evitan mínimos locales con bajo coste de puertas.,Su naturaleza estocástica puede requerir varias ejecuciones para asegurar el salto de precisión.,,,,,,
QuantumNAS,One-Shot NAS con Búsqueda Evolutiva y Fine-Tuning,24.01 s,292.33 s,316.34 s,"1.885,60",80.41% ± 0.21%,81.42% ± 0.49%,1.00%,"8,60",5.2 capas,15,Reduce exponencialmente el coste de evaluación de la arquitectura.,La calidad de la sub-arquitectura depende fuertemente de la capacidad de los pesos del Super-Circuito para generalizar.,,,,,,
Q-GP-UCB (Quantum-Gaussian Process UCB),Proceso Gaussiano (GP) + Criterio UCB. Emplea QAWA Encoding,34.89 s,151.85 s,186.74 s,"62,00",80.74% ± 0.06%,81.70% ± 0.26%,0.96%,"14,00",15.0 capas,15,Eficiencia de datos extrema y profundidad lineal; rompe la maldición de la dimensionalidad.,Requiere una codificación matemática de estado (mapa de amplitudes) muy compleja antes de iterar.,,,,,,
QBO-QNN,SPSA (Simultaneous Perturbation Stochastic Approximation),97.56 s,137.43 s,234.99 s,"59,00",80.74% ± 0.06%,81.70% ± 0.26%,0.96%,"14,00",16.0 capas,15,Extraordinaria compacidad de hardware (solo 14 CNOTs y 16 capas) y altísima eficiencia de datos (59 evaluaciones) gracias al aprendizaje de la red neuronal cuántica.,"El tiempo de sobrecarga clásica (overhead) es alto, tardando casi 4 veces más en la búsqueda cuántica (97.56 s) debido a la inferencia por lotes.",,,,,,
QSVR,ZZFeatureMap (2 reps),15.84 s,741.28 s,757.12 s,"9.600,00",79.22% ± 1.25%,81.44% ± 0.81%,2.22%,"28,00",31.0 capas,15,"Captura relaciones no lineales complejas en espacios de Hilbert con solo 28 CX, siendo muy robusto frente al ruido físico.","El entrenamiento requiere construir la matriz de Gram (9.600 evaluaciones), lo que genera un coste computacional cuadrático O(N²).",,,,,,
QMKL,SLSQP (Optimización Clásica) + SVR Subrogado,33.54 s,632.18 s,665.72 s,"30.000,00",79.13% ± 1.54%,81.33% ± 0.95%,2.20%,"14,00",31.0 capas,15,Incrementa drásticamente la capacidad de generalización del modelo frente a un QSVR estándar de kernel único.,El coste computacional de simulación crece linealmente con la cantidad de kernels utilizados en el pool.,,,,,,
QGAN ((Hybrid Quantum Generative Adversarial Network)),Modelo Generativo Antagónico Híbrido (QGAN),7.72 s,345.33 s,353.05 s,"300,00",80.28% ± 0.50%, 81.49% ± 0.53%,1.22%,"14,00",18.0 capas,15,"A diferencia de VQE o QAOA que convergen a un único punto, el QGAN aprende la distribución subyacente de todo el espacio. Una vez entrenado, puedes muestrear el circuito para generar infinitas configuraciones candidatas de altísima calidad en milisegundos.","Es infame por su dificultad matemática para alcanzar el equilibrio de Nash. El generador a menudo sufre de Mode Collapse, donde aprende a generar una única configuración ""buena"" una y otra vez, perdiendo toda la diversidad poblacional.",,,,,,
SWIFT-HYPERBAND,Successive Halving Asistido por Predictor Cuántico (QSVR),0.04 s,151.57 s,151.61 s,"65,20",80.59% ± 0.11%,81.53% ± 0.29%, 0.94%,"0,00",0.0 capas,15,"Integrar la predicción de rendimiento (vía QSVR) con métodos de parada temprana (Hyperband) reduce drásticamente el coste computacional del HPO: con solo 65,2 evaluaciones y 0 CNOTs directos, obtiene 81,53% en 151,61 s totales, el tercer tiempo más bajo de la familia QML.","A medida que el presupuesto de Hyperband aumenta, el tamaño de la matriz cuadrática crece, convirtiendo el cálculo del kernel cuántico en el principal cuello de botella de tiempo de ejecución de la simulación.",,,,,,
VQC-RL,Policy Gradient Básico con Data Re-uploading,1.73 s,250.13 s,251.86 s,"100,00",80.58% ± 0.22%,81.85% ± 0.37%, 1.27%,"28,00",16.0 capas,15,La técnica de Data Re-uploading permite que un circuito con muy pocas puertas (solo 14 CNOTs por capa) represente funciones altamente no lineales y complejas.,"El paradigma secuencial inherente a los Procesos de Decisión de Markov (MDP) hace que la exploración requiera evaluar el entorno paso a paso, sin posibilidad de paralelización. El número de episodios necesarios para converger crece con la dimensionalidad del espacio de hiperparámetros, limitando la escalabilidad a problemas HPO de más de 10–15 dimensiones.",,,,,,
QK-LSTM (Quantum Kernel-Based Long Short-Term Memory),Meta-Aprendizaje Cuántico (QK-LSTM),937.60 s,322.64 s,1260.24 s,"66,00",80.46% ± 0.11%,81.76% ± 0.19%,1.30%,"210,00",83.0 capas,15,"Resuelve por completo el problema del ""arranque en frío"" (Cold-Start). Al transferir conocimiento, reduce las épocas de convergencia a un simple paso de inferencia y un ajuste fino local mínimo.","Requiere una fase de ""pre-entrenamiento"" computacionalmente muy pesada. Además, si el nuevo paisaje de hiperparámetros es radicalmente distinto a los que el modelo vio en su historial (fuera de distribución), puede sufrir de Transferencia Negativa.",,,,,,
QPSO (Quantum-behaved Particle Swarm Optimization),Optimización de Enjambre Cuántico (QPSO),0.04 s,187.76 s,187.80 s,"1.530,00",81.24% ± 0.28%,81.86% ± 0.12%,0.62%,"0,00",0.0 capas,15,"Al eliminar los hiperparámetros clásicos de inercia y aceleración, QPSO reduce el riesgo de que el propio algoritmo requiera un sobreajuste masivo.",Las funciones de onda asumen un espacio continuo. Forzar estas posiciones probabilísticas a un espacio de características rígidamente discreto (hiperparámetros binarios) puede generar pérdida de precisión en la exploración local.,,,,,,
QACO (Quantum Ant Colony Optimization),Optimización Híbrida Cuántica por Colonia de Hormigas (QACO),0.02 s,256.46 s,256.48 s,"1.000,00",80.98% ± 0.17%,81.89% ± 0.30%,0.92%,"0,00",0.0 capas,15,"El uso de puertas de rotación cuántica elimina la necesidad de calcular tasas de evaporación de feromonas complejas, acelerando la convergencia del algoritmo hacia las regiones prometedoras del espacio de búsqueda.","El tamaño del paso de la rotación requiere un ajuste cuidadoso. Si es muy grande, la probabilidad colapsa rápidamente destruyendo la superposición; si es muy pequeño, la convergencia computacional se vuelve excesivamente lenta.",,,,,,
QGA (Quantum Genetic Algorithm),Algoritmo Genético Cuántico (QGA),0.02 s,166.38 s,166.40 s,"1.000,00",81.17% ± 0.37%,81.60% ± 0.39%,0.43%,"0,00",0.0 capas,15,Mantiene una excelente diversidad a lo largo de las generaciones gracias a su naturaleza probabilística.,"El rendimiento depende en gran medida del diseño de la estrategia de rotación adaptativa (el tamaño del paso angular ). Un paso demasiado grande oscila sin converger, mientras que uno muy pequeño ralentiza excesivamente la búsqueda.",,,,,,